Vehicle_brand
Porsche
Trabant
Mercury
FAW
MG
Tavria
CitroÃ«n
Opel
Pontiac
Alfa Romeo
Mitsubishi
Grecav
Renault
Audi
Å»uk
DS Automobiles
Hummer
Iveco
Cupra
MAN
Chevrolet
Isuzu
RAM
McLaren
Aston Martin
Autobianchi
Jeep
Moskwicz
Lada
Maybach
Daewoo
Rolls-Royce
Rover
NSU
Land Rover
Suzuki
Uaz
Buick
Lotus
Baic
Ford
Peugeot
Subaru
Chrysler
Oldsmobile
Inny
Bentley
ZaporoÅ¼ec
Microcar
Vauxhall
Lamborghini
BMW
Volkswagen
Hyundai
Saab
WoÅ‚ga
Scion
Casalini
Daihatsu
Mercedes-Benz
Fiat
Tata
Gaz
Syrena
Alpine
Kia
Santana
Seat
Dodge
Honda
Abarth
Lincoln
Tesla
Wartburg
Jaguar
Chatenet
Plymouth
Acura
Å koda
Toyota
Aixam
Dacia
GMC
Polonez
SsangYong
Lancia
Austin
Cadillac
Warszawa
Nissan
Mazda
Triumph
Saturn
Volvo
Nysa
Infiniti
Tarpan
Vanderhall
Talbot
Ferrari
MINI
Zastava
Ligier
DKW
Lexus
Smart
Maserati
DFSK
